Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
PROPS\SKINS\SCOUTCOPTER.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SCULPTURE_01.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100100000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;DTX_FULLBRITE ;;;;;;0;40;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SCULPTURE_02.DTX;0;DTX_VERSION_LT2;64;128;4;'1000100100000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;DTX_FULLBRITE ;;;;;;0;40;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SCULPTURE_02B.DTX;0;DTX_VERSION_LT2;64;128;4;'1000100100000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;DTX_FULLBRITE ;;;;;;0;40;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SECURITYCAM.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SECURITYCAMBROKE.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SECURITYPASS.DTX;0;DTX_VERSION_LT2;128;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;81;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SHELLLAMP.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SILVERWARE.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SLIDEP.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;8;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SNACK_01.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SNACK_02.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\SNOWMOBILE.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SOAPBOTTLE.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;90;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\SPOTLIGHT.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100100000000;;;DTX_SECTIONSFIXED ;;;DTX_FULLBRITE ;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\SPOTLIGHTBROKE.DTX;0;DTX_VERSION_LT2;128;128;4;'0000101000000001;;;DTX_SECTIONSFIXED ;;DTX_PREFER16BIT ;;;;;;DTX_PREFER5551 ;0;0;0;BPP_S3TC_DXT1;0;0;0;0.0;0;;
PROPS\SKINS\STATUE.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\STEAK.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;2;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\STEERINGWHEEL.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_32;0;0;0;0.0;0;alpharef 96;
PROPS\SKINS\SUITOFARMOR.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TEMPLETOTEM.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;11;0;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\TENDERIZER.DTX;0;DTX_VERSION_LT2;64;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TESTTUBE.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\THERMOS.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;21;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TIKIFACE.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\TIRE_01.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;80;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TOILETPAPER.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;81;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\TOMATO.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;2;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TRAY_01A.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;90;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TRAY_01B.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;90;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\TREE_01.DTX;0;DTX_VERSION_LT2;256;256;2;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_8P;0;0;0;0.0;0;ColorKey 48 48 8;
PROPS\SKINS\TREE_01B.DTX;0;DTX_VERSION_LT2;32;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_S3TC_DXT5;0;0;0;0.0;0;Detailtex Tex\DetailTex\Dtl0016.dtx:AlphaRef 96;
PROPS\SKINS\TREE_03.DTX;0;DTX_VERSION_LT2;256;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;0;BPP_32;0;1;0;0.0;0;alpharef 96;
